[2022-11-01 20:26:43.387] [pxr_streamer] [info] ***********  Log Begin **********
[2022-11-01 20:26:43.387] [pxr_streamer] [info] process id= 13224
[2022-11-01 20:26:43.387] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:26:43.389] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x5d65be30
[2022-11-01 20:26:43.389] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x5d65be30
[2022-11-01 20:26:46.438] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:26:49.496] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:26:52.521] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:26:55.565] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:26:58.589] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:01.642] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:04.685] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:07.724] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:10.764] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:13.804] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:16.842] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:19.901] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:22.939] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
[2022-11-01 20:27:25.971] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение., this = 0x5d65be30
