[2022-09-21 10:14:57.030] [pxr_streamer] [info] ***********  Log Begin **********
[2022-09-21 10:14:57.030] [pxr_streamer] [info] process id= 19468
[2022-09-21 10:14:57.030] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:14:57.031] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0xbbde13c0
[2022-09-21 10:14:57.031] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0xbbde13c0
[2022-09-21 10:15:00.069] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:03.112] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:06.151] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:09.179] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:12.232] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:15.289] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:18.332] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:21.369] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:24.403] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:27.410] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
[2022-09-21 10:15:30.466] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= No connection could be made because the target machine actively refused it., this = 0xbbde13c0
